transaccion;url_transaccion;fecha_creacion;primer_idcambiotabla;total_cambios;fecha_insercion;fecha_actualizacion;fecha_confirmacion
1.17.974592;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.17.974592;2022-07-27 13:57:59.0;66078169;2;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:24.0
10.12.1122039;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.12.1122039;2022-07-27 13:58:01.0;66078174;1;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:25.0
10.14.1123071;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.14.1123071;2022-07-27 13:58:01.0;66078172;1;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:25.0
5.22.1103794;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.22.1103794;2022-07-27 13:58:01.0;66078175;2;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:25.0
5.4.1103421;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.4.1103421;2022-07-27 13:58:01.0;66078173;1;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:25.0
5.8.1102674;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.8.1102674;2022-07-27 13:58:01.0;66078171;1;2022-07-27 14:00:24.0;2022-07-27 14:00:27.0;2022-07-27 14:00:25.0
2.0.1098784;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.0.1098784;2022-07-27 14:00:01.0;66078177;1;2022-07-27 14:05:18.0;2022-07-27 14:05:20.0;2022-07-27 14:05:18.0
2.14.1098757;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.14.1098757;2022-07-27 14:02:00.0;66078178;1;2022-07-27 14:05:18.0;2022-07-27 14:05:20.0;2022-07-27 14:05:19.0
10.4.1123189;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.4.1123189;2022-07-27 14:03:00.0;66078179;2;2022-07-27 14:05:18.0;2022-07-27 14:05:20.0;2022-07-27 14:05:19.0
5.18.1103290;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=5.18.1103290;2022-07-27 14:03:00.0;66078181;2;2022-07-27 14:05:18.0;2022-07-27 14:05:20.0;2022-07-27 14:05:19.0
9.28.1112121;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.28.1112121;2022-07-27 14:06:00.0;66078183;1;2022-07-27 14:10:21.0;2022-07-27 14:10:22.0;2022-07-27 14:10:21.0
2.34.1099277;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.34.1099277;2022-07-27 14:09:00.0;66078184;22;2022-07-27 14:10:21.0;2022-07-27 14:10:22.0;2022-07-27 14:10:21.0
2.6.1098711;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.6.1098711;2022-07-27 14:09:02.0;66078206;1;2022-07-27 14:10:21.0;2022-07-27 14:10:22.0;2022-07-27 14:10:21.0
2.4.1099327;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=2.4.1099327;2022-07-27 14:10:01.0;66078207;7;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:19.0
8.35.1118446;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.35.1118446;2022-07-27 14:11:00.0;66078214;1;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:19.0
1.26.973555;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.26.973555;2022-07-27 14:12:00.0;66078215;3;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:19.0
7.30.1078608;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.30.1078608;2022-07-27 14:12:01.0;66078218;1;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:19.0
6.19.956549;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=6.19.956549;2022-07-27 14:12:59.0;66078220;1;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:20.0
9.5.1111717;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.5.1111717;2022-07-27 14:12:59.0;66078219;1;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:19.0
7.17.1078414;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.17.1078414;2022-07-27 14:13:00.0;66078222;1;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:20.0
8.7.1116655;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.7.1116655;2022-07-27 14:13:00.0;66078221;1;2022-07-27 14:15:19.0;2022-07-27 14:15:20.0;2022-07-27 14:15:20.0
8.19.1117807;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.19.1117807;2022-07-27 14:18:00.0;66078223;1;2022-07-27 14:20:21.0;2022-07-27 14:20:23.0;2022-07-27 14:20:21.0
1.46.974294;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.46.974294;2022-07-27 14:18:00.0;66078224;7;2022-07-27 14:20:21.0;2022-07-27 14:20:23.0;2022-07-27 14:20:21.0
8.26.1118309;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=8.26.1118309;2022-07-27 14:19:00.0;66078231;1;2022-07-27 14:20:21.0;2022-07-27 14:20:23.0;2022-07-27 14:20:21.0
10.39.1122908;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=10.39.1122908;2022-07-27 14:19:01.0;66078232;1;2022-07-27 14:20:21.0;2022-07-27 14:20:23.0;2022-07-27 14:20:22.0
7.42.1078217;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=7.42.1078217;2022-07-27 14:21:02.0;66078233;1;2022-07-27 14:25:27.0;2022-07-27 14:25:28.0;2022-07-27 14:25:27.0
1.18.974745;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.18.974745;2022-07-27 14:22:00.0;66078234;2;2022-07-27 14:25:27.0;2022-07-27 14:25:28.0;2022-07-27 14:25:27.0
9.25.1112584;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=9.25.1112584;2022-07-27 14:22:59.0;66078236;4;2022-07-27 14:25:27.0;2022-07-27 14:25:28.0;2022-07-27 14:25:27.0
6.14.956462;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=6.14.956462;2022-07-27 14:23:00.0;66078240;1;2022-07-27 14:25:27.0;2022-07-27 14:25:28.0;2022-07-27 14:25:28.0
1.2.974291;http://127.0.0.1:59000/integracion/TransaccionPendiente/?destino=2&transaccion=1.2.974291;2022-07-27 14:23:00.0;66078241;2;2022-07-27 14:25:27.0;2022-07-27 14:25:28.0;2022-07-27 14:25:28.0
